date,Y_raw,I_raw,H_raw,R_raw,N_raw,C_raw
1954-07-01,2880.482,283.451,44.043,0.8,108344,1725.489
1954-10-01,2936.852,295.882,44.588,0.85,108668,1761.703
1955-01-01,3020.746,325.442,45.304,1.39,109059,1801.231
1955-04-01,3069.91,345.235,45.898,1.43,109377,1835.737
1955-07-01,3111.379,350.533,46.379,1.68,109792,1858.411
1955-10-01,3130.068,358.661,46.937,2.24,110085,1881.748
1956-01-01,3117.922,348.42,47.224,2.45,110390,1884.805
1956-04-01,3143.694,345.678,47.325,2.62,110650,1891.074
1956-07-01,3140.874,342.583,47.133,2.75,111019,1895.35
1956-10-01,3192.57,339.406,47.395,2.96,111335,1921.479
1957-01-01,3213.011,334.137,47.44,2.84,111626,1934.843
1957-04-01,3205.97,333.798,47.339,3.0,111933,1938.216
1957-07-01,3237.386,341.451,47.111,2.99,112317,1953.532
1957-10-01,3203.894,315.195,46.139,3.5,112710,1954.346
1958-01-01,3120.724,293.932,45.106,2.72,113138,1927.309
1958-04-01,3141.224,288.01,44.444,1.26,113415,1943.243
1958-07-01,3213.884,310.114,44.977,0.68,113727,1975.484
1958-10-01,3289.032,336.555,45.648,1.8,114138,2002.318
1959-01-01,3352.129,354.894,46.533,2.48,114582,2039.017
1959-04-01,3427.667,382.5,47.413,2.96,114986,2070.508
1959-07-01,3430.057,357.798,47.274,3.47,115429,2092.138
1959-10-01,3439.832,369.442,47.287,3.98,115798,2094.495
1960-01-01,3517.181,406.581,47.584,3.99,116594,2114.532
1960-04-01,3498.246,368.686,47.663,3.92,116910,2141.205
1960-07-01,3515.385,367.749,47.397,3.23,117281,2132.646
1960-10-01,3470.278,327.01,46.964,2.47,117643,2135.408
1961-01-01,3493.703,335.496,46.693,1.45,118155,2134.615
1961-04-01,3553.021,359.004,46.586,1.49,118503,2166.382
1961-07-01,3621.252,386.914,46.862,1.17,118889,2176.916
1961-10-01,3692.289,393.316,47.455,2.26,119202,2220.704
1962-01-01,3758.147,414.522,47.631,2.15,119300,2244.227
